CardNum,CardName,チェック済み
WX01-049,羅植　バロメット,
WX01-050,大化,
WX01-051,サーバント　Ｑ,
WX01-052,包括する知識,
WX01-053,極剣　ゴッドイーター,
WX01-054,極盾　イギス,
WX01-055,大盾　ライオット,
WX01-056,中盾　スクエア,
WX01-057,出弓　セフィラム,
WX01-058,やり直しの対話　ミカエル,
WX01-059,出弓　ボウ,
WX01-060,小盾　ラウンド,
WX01-061,探求の思想　ハニエル,
WX01-062,ゲット・オープン,
WX01-063,ゲット・レディ,
WX01-064,羅石　メタリカ,
WX01-065,羅石　エメラルダ,
WX01-066,羅石　ルビル,
WX01-067,羅石　リン,
WX01-068,羅石　コハク,
WX01-069,爆砲　ランチャン,
WX01-070,羅石　マクリ,
WX01-071,羅石　サファイ,
WX01-072,小砲　ドラグノフ,
WX01-073,落星の炎球,
WX01-074,プリズムの火柱,
WX01-075,コードアート　Ａ・Ｓ・Ｍ,
WX01-076,コードアート　Ｉ・Ｄ・Ｏ・Ｌ,
WX01-077,コードアート　Ａ・Ｄ・Ｂ,
WX01-078,コードアート　Ｓ・Ｔ・Ｇ,
WX01-079,コードアート　Ｗ・Ｔ・Ｃ,
WX01-080,幻水　シャコタン,
WX01-081,コードアート　Ｔ・Ｖ,
WX01-082,コードアート　Ｆ・Ａ・Ｎ,
WX01-083,幻水　クマノミン,
WX01-084,ＴＨＲＥＥ　ＯＵＴ,
WX01-085,ＦＲＥＥＺＥ,
WX01-086,幻獣　イグル,
WX01-087,幻獣　ケットシー,
WX01-088,幻獣　オウル,
WX01-089,幻獣　クロ,
WX01-090,幻獣　スパロウ,
WX01-092,幻獣　シロ,
WX01-093,羅植　ダンデリオン,
WX01-094,幻獣　スワロウ,
WX01-096,幻獣　ミケ,
WX01-097,羅植　サルビア,
WX01-098,芽生,
WX01-099,逆出,
WX01-100,サーバント　Ｔ,
WX02-001,金木犀の巫女　タマヨリヒメ,
WX02-002,火鳥風月　遊月・肆,
WX02-003,エルドラ×マークⅣ,
WX02-004,無間の閻魔　ウリス,
WX02-005,ホワイト・ホープ,
WX02-006,ブラック・デザイア,
WX02-007,轟炎罪　遊月・参,
WX02-008,焔悔　遊月・弐,
WX02-009,焔　遊月・壱,
WX02-010,エルドラ×マークⅢ,
WX02-011,エルドラ×マークⅡ,
WX02-012,エルドラ×マークⅠ,
WX02-013,叫喚の閻魔　ウリス,
WX02-014,黒縄の閻魔　ウリス,
WX02-015,等活の閻魔　ウリス,
WX02-016,ゴシック・バウンダリー,
WX02-017,気炎万丈,
WX02-018,火紅柳緑,
WX02-019,クロス・ライフ・クロス,
WX02-020,ブラッディ・スラッシュ,
WX02-021,先駆の大天使　アークゲイン,
WX02-022,弩砲　ガンスナイプ,
WX02-023,幻水姫　スパイラル・カーミラ,
WX02-024,羅植姫　ゴーシュ・アグネス,
WX02-025,悪魔姫　アンナ・ミラージュ,
WX02-026,ウィッシュ・クライシス,
WX02-027,焦土の代償,
WX02-028,エニグマ・オーラ,
WX02-029,宝具　ミツルギ,
WX02-030,宝具　ミカガミ,
WX02-031,ゲット・バウンド,
WX02-032,羅石　オパーラル,
WX02-033,羅石　カーネリアン,
WX02-034,望まぬ衝動,
WX02-035,コードアート　Ｃ・Ｐ・Ｕ,
WX02-036,コードアート　Ｇ・Ｒ・Ｂ,
WX02-037,ＳＰＲＡＳＨ,
WX02-038,幻獣　キジ,
WX02-039,幻獣　ハチ,
WX02-040,着植,
WX02-041,大損,
WX02-042,コードアンチ　パルベック,
WX02-043,コードアンチ　キティラ,
WX02-044,大罪の所以　バアル,
WX02-045,サクリファイス・スラッシュ,
WX02-046,犠牲の微笑　キュアエル,
WX02-047,虚構の愛情　シエル,
WX02-048,宝具　マガタマ,
WX02-049,博愛の集束　サニエル,
WX02-050,ソード・アビリティ,
WX02-051,轟砲　ランチャーギア,
WX02-052,爆砲　ＭＰ５,
WX02-053,羅石　ヒスイ,
WX02-054,小砲　スミス,
WX02-055,光欲の宝剣,
WX02-056,幻水　オクト,
WX02-057,幻水　パール,
WX02-058,コードアート　Ｍ・Ｍ・Ｒ,
WX02-059,幻水　コザメ,
WX02-060,ＳＥＡＲＣＨＥＲ,
WX02-061,ＢＬＵＥＧＡＩＮ,
WX02-062,羅植　ミズアオイ,
WX02-063,羅植　ハス,
WX02-064,幻獣　モンキ,
WX02-065,羅植　スベリア,
WX02-066,豊潤,
WX02-067,悪夢の続発　リリス,
WX02-068,悪魔の勇武　モリガ,
WX02-069,コードアンチ　ネビュラ,
WX02-070,真実の死神　アニマ,
WX02-071,コードアンチ　デリー,
WX02-072,コードアンチ　マチュピ,
WX02-073,コードアンチ　テキサハンマ,
WX02-074,小悪の憂鬱　グリム,
WX02-075,グレイブ・メイカー,
WX02-077,サーバント　Ｔ２,
WX02-078,サーバント　Ｄ２,
WX03-001,創造の鍵主　ウムル=フィーラ,
WX03-002,ホーリーアクト,
WX03-003,業火絢爛,
WX03-004,ツー・ダスト,
WX03-005,全身全霊,
WX03-006,天空の巫女　タマヨリヒメ,
WX03-007,花代・純肆,
WX03-008,コード・ピルルク∑,
WX03-009,四型緑姫,
WX03-010,黒沙の閻魔　ウリス,
WX03-011,創造の鍵主　ウムル＝トレ,
WX03-012,創造の鍵主　ウムル＝トヴォ,
WX03-013,創造の鍵主　ウムル＝エット,
WX03-014,デッド・スプラッシュ,
WX03-015,デス・コロッサオ,
WX03-016,聖技の護り手　ラビエル,
WX03-017,爆砲　ペンシルロケッツ,
WX03-018,幻水　カレイラ,
WX03-019,羅植　マリゴールド,
WX03-020,コードアンチ　パルテノ,
WX03-021,ロスト・テクノロジー,
WX03-022,極剣　サミダレ,
WX03-023,手剣　カクマル,
WX03-024,ゲット・グロウ,
WX03-025,羅石　シズク,
WX03-026,手弾　アヤボン,
WX03-027,夢限の最果,
WX03-028,コードアート　Ｒ・Ｇ・Ｎ,
WX03-029,コードアート　Ｃ・Ｖ・Ｙ,
WX03-030,ＰＩＣＫ　ＵＰ,
WX03-031,幻獣　ベイア,
WX03-032,羅植　カーノ,
WX03-033,超損,
WX03-034,コードアンチ　コスタリク,
WX03-035,コードアンチ　メガトロン,
WX03-036,焚発する知識,
WX03-037,未来の福音　アークホールド,
WX03-038,苦無　ザンテツ,
WX03-039,罠砲　クレイモア,
WX03-040,羅石　コランダム,
WX03-041,幻水　ヒラメナ,
WX03-042,コードアート　Ｋ・Ｅ・Ｙ,
WX03-043,ＩＣＥ　ＢＲＥＡＫ,
WX03-044,羅植　グラミス,
WX03-045,幻獣　コマリス,
WX03-046,打突,
WX03-047,コードアンチ　アステカ,
WX03-048,コードアンチ　クリスカル,
WX03-049,セルフ・スラッシュ,
WX03-050,ライヴス・ガット,
WX04-001,紅蓮の巫女　タマヨリヒメ,
WX04-002,遊月・四戎,
WX04-003,ミルルン・ヨクト,
WX04-004,戦慄の旋律　アン＝フォース,
WX04-005,アルテマ/メイデン　イオナ,
WX04-006,紅蓮の閻魔　ウリス,
WX04-007,十六夜の巫女　タマヨリヒメ,
WX04-008,ファフニール,
WX04-009,遊月・参戎,
WX04-010,捲火重来,
WX04-011,コードピルルク・E,
WX04-012,ミルルン・フェムト,
WX04-013,ミルルン・ピコ,
WX04-014,ミルルン・ナノ,
WX04-015,マインド・マインズ,
WX04-016,三式豊潤娘　緑姫,
WX04-017,信託する神託　アン＝サード,
WX04-018,過知の価値　アン＝セカンド,
WX04-019,想像の創造　アン＝ファースト,
WX04-020,千載一遇,
WX04-021,辛苦の閻魔　ウリス,
WX04-022,プルト/メイデン　イオナ,
WX04-023,ウラヌス/メイデン　イオナ,
WX04-024,ネプト/メイデン　イオナ,
WX04-025,ダーク・マター,
WX04-026,オーバーサルベージ,
WX04-027,ドーピング,
WX04-028,バニシング,
WX04-029,コードラビリンス　クイン,
WX04-030,トライ・シグナル,
WX04-031,幻竜姫　オロチ,
WX04-032,龍鳳の排炎,
WX04-033,羅原姫　Ｎｅ,
WX04-034,ＳＨＯＲＴ,
WX04-035,不可解な誇超　コンテンポラ,
WX04-036,再誕,
WX04-037,フィア＝リカブト,
WX04-038,バイオレンス・スプラッシュ,
WX04-039,大天使の未来　ガブリエ,
WX04-040,極壊　ハンマ,
WX04-041,コードメイズ　スカイジュ,
WX04-042,弩砲　スティンガー,
WX04-043,羅石　黒曜,
WX04-044,幻竜　ティラノ,
WX04-045,幻水　オウイカ,
WX04-046,コードアート　Ａ・Ｃ・Ｇ,
WX04-047,羅原　Ｈｅ,
WX04-048,羅植　ウツボカ,
WX04-049,幻獣　シエンコ,
WX04-050,非可視の現実　キュビ,
WX04-051,コードアンチ　ウロボロス,
WX04-052,堕落の虚無　パイモン,
WX04-053,ドライ＝カプセル,
WX04-054,サーバント　Ｘ,
WX04-055,君からの明日　ラファエ,
WX04-056,大壊　アクス,
WX04-057,突然の壊乱　ウリエ,
WX04-058,コードメイズ　タジマハ,
WX04-059,中壊　モーニン,
WX04-060,史実の改善　サリエ,
WX04-061,コードメイズ　タワブ,
WX04-062,小壊　棍,
WX04-063,ゲット・ゲート,
WX04-064,ノー・ゲイン,
WX04-065,轟砲　ドラスト,
WX04-066,羅石　タンザ,
WX04-067,爆砲　ナインティーン,
WX04-068,幻竜　ワイバーン,
WX04-069,羅石　ターコ,
WX04-070,小砲　デリン,
WX04-071,羅石　トパズ,
WX04-072,幻竜　エキドナ,
WX04-073,炎壊の舞盃,
WX04-074,懐疑する慟哭,
WX04-075,幻水　クラゲ,
WX04-076,コードアート　Ｄ・Ｅ・Ｆ,
WX04-077,幻水　ヒトデ,
WX04-078,コードアート　Ｒ・Ｐ・Ｇ,
WX04-079,羅原　Ｆ,
WX04-080,幻水　クリオネ,
WX04-081,羅原　Ｃｌ,
WX04-082,コードアート　Ｓ・Ｍ・Ｌ,
WX04-083,ＰＲＥＣＩＯＵＳ,
WX04-084,ＡＴＴＲＡＣＴＩＯＮ,
WX04-085,羅植　ドロウソ,
WX04-086,幻獣　トサ,
WX04-087,羅植　ハエトリ,
WX04-088,幻獣　ビーグル,
WX04-089,未解決の逸脱　シュレリス,
WX04-090,羅植　モウセン,
WX04-091,幻獣　チワワン,
WX04-092,無害の一致　ピュリ,
WX04-093,惰眠,
WX04-094,怒号,
WX04-095,コードアンチ　ナスカ,
WX04-096,堕落の破戒　オリエンス,
WX04-097,コードアンチ　アショカ,
WX04-098,堕落の吐露　マイモン,
WX04-099,ツヴァイ＝サリナ,
WX04-100,コードアンチ　ヘンジ,
WX04-101,アイン＝ダガ,
WX04-102,堕落の消滅　アリトン,
WX04-103,エビルズ・ソウル,
WX04-104,エンド・スラッシュ,
WX04-105,成長する未来,
WX05-001,創世の巫女　マユ,
WX05-002,花代・伍,
WX05-003,コード・ピルルク　ＡＣＲＯ,
WX05-004,五型緑姫,
WX05-005,黒点の巫女　タマヨリヒメ,
WX05-006,虚無の閻魔　ウリス,
WX05-007,ラスト・セレクト,
WX05-008,遊月・伍,
WX05-009,一燭即発,
WX05-010,エルドラ＝マークⅤ,
WX05-011,ミルルン・ティコ,
WX05-012,フォーチューン・ファイブ,
WX05-013,侵犯されし神判　アン・フィフス,
WX05-014,十人十色,
WX05-015,ヘイト・インプレス,
WX05-016,エンドホール,
WX05-017,ラッキーガード,
WX05-018,原槍　アークエナジェ,
WX05-019,コードラビリンス　ルーブル,
WX05-020,羅輝石　ダイヤブライド,
WX05-021,幻竜姫　ムシュフシュ,
WX05-022,コードラブハート　Ｃ・Ｍ・Ｒ,
WX05-023,羅原　Ｕ,
WX05-024,幻獣神　ライアン,
WX05-025,高尚たる一筆　スイボク,
WX05-026,コードアンシエンツ　ネクロノミコ,
WX05-027,堕落の才女　ルシファル,
WX05-028,遅起の花咲　アフロディテ,
WX05-029,極槍　ゲイヴォルグ,
WX05-030,ゲット・グリモア,
WX05-031,幻竜　ゴッドラ,
WX05-032,弩砲　アヴェンジャー,
WX05-033,羅石　ペリドット,
WX05-034,至宝の欠片,
WX05-035,羅原　Ｒｎ,
WX05-036,幻水　ジンベイ,
WX05-037,コードアート　Ｓ・Ｐ・Ｋ,
WX05-038,ＳＰＩＲＡＬ,
WX05-039,制限された表現　ドット,
WX05-040,羅植　サクラ,
WX05-041,幻獣　ライノ,
WX05-042,増武,
WX05-043,フィア＝ヴァイアル,
WX05-044,コードアンチ　マズフェイス,
WX05-045,ファイナル・ディストラクション,
WX05-046,コードメイズ　サグファミ,
WX05-047,大剣　レヴァテイン,
WX05-048,コードメイズ　メトロン,
WX05-049,中槍　ブルナク,
WX05-050,コードメイズ　ミッシェル,
WX05-051,小剣　エンゲツ,
WX05-052,ゲット・アルマンダル,
WX05-053,幻竜　エインガナ,
WX05-054,幻竜　リントブルム,
WX05-055,幻竜　カンニャ,
WX05-056,幻竜　コモド,
WX05-057,幻竜　クエレプ,
WX05-058,幻竜　トカゲ,
WX05-059,延命の選択,
WX05-060,羅原　Ｍｎ,
WX05-061,羅原　Ｔｈ,
WX05-062,羅原　Ｔｉ,
WX05-063,羅原　Ａｃ,
WX05-064,羅原　Ｓ,
WX05-065,羅原　Ｃｒ,
WX05-066,ＲＡＩＮＹ,
WX05-067,伝統の近似値　マキエ,
WX05-068,方法論の対立　コラ,
WX05-069,鮮明な名宴　ポップ,
WX05-070,度量ある明暗　アメコ,
WX05-071,画一の条件　オリガミ,
WX05-072,落書の是認　クレヨン,
WX05-073,咆哮,
WX05-074,ドライ＝スポアー,
WX05-075,コードアンチ　アラハバキ,
WX05-076,魅惑の魔道　ロキ,
WX05-077,ツヴァイ＝コブラ,
WX05-078,堕楽の一目　アーリマン,
WX05-079,アイン＝ガス,
WX05-080,使命の怠惰　ヘカーテ,
WX05-081,リバイブ・フレア,
WX06-001,永らえし者　タウィル＝フィーラ,
WX06-002,ピンチ・ディフェンス,
WX06-003,火福糾縄,
WX06-004,ドント・エスケープ,
WX06-005,雲散霧消,
WX06-006,アンシエント・ゲート,
WX06-007,永らえし者　タウィル＝トレ,
WX06-008,永らえし者　タウィル＝トヴォ,
WX06-009,永らえし者　タウィル＝エット,
WX06-010,永らえし者　タウィル＝ノル,
WX06-011,シャボン・サモン,
WX06-012,ミルルン・アト,
WX06-013,後悔の公開　アン＝サード,
WX06-014,創造の鍵主　ウムル＝フェム,
WX06-015,スペル・サルベージ,
WX06-016,聖墓の神姉　ムンカルン,
WX06-017,極拳　ニャローブ,
WX06-018,弩炎　フレイスロ大佐,
WX06-019,幻水　シロナクジ,
WX06-020,羅植　ラフレレ,
WX06-021,フィア＝ダイオ姫,
WX06-022,大槍　トライデ,
WX06-023,聖墓の神妹　ナキールン,
WX06-024,シャボン・サドゥン,
WX06-025,ラッキー・スリー,
WX06-026,羅石　カクセン,
WX06-027,幻竜　ブラザウス,
WX06-028,炎機の歯車,
WX06-029,コードアート　Ｏ・Ｓ・Ｓ,
WX06-030,羅原　Ａｒ,
WX06-031,ＴＲＩＣＫ　ＯＲ　ＴＲＥＡＴ,
WX06-032,幻獣　クロニャン,
WX06-033,反復する独自性　グリッド,
WX06-034,一投,
WX06-035,三首の連打　ケルべルン,
WX06-036,コードアンチ　ゴルスペ,
WX06-037,インヘイリング・ホール,
WX06-038,大拳　メリサ,
WX06-039,中拳　グローバ,
WX06-040,小拳　フィング,
WX06-041,羅石　カコウガ,
WX06-042,羅石　セリクガ,
WX06-043,羅石　ハレイガ,
WX06-044,コードアート　Ａ・Ｃ・Ｄ,
WX06-045,コードアート　Ｈ・Ｍ・Ｆ,
WX06-046,コードアート　Ｄ・Ｍ・Ｆ,
WX06-047,幻獣　カンルル,
WX06-048,幻獣　コモリグ,
WX06-049,幻獣　ウォンバ,
WX06-050,悪魔の乗り手　サレオス,
WX06-051,悪魔の乗り手　サロス,
WX06-052,悪魔の乗り手　ザエボス,
WX06-CB01,羅石　キュア,
WX06-CB02,コードアート　Ｔ・Ａ・Ｐ,
WX06-CB03,羅植　カヤッパ,
WX06-CB04,コードアンチ　ドロンジョ,
WX07-001,博愛の使者　サシェ・プレンヌ,
WX07-002,合炎奇炎　タマヨリヒメ之肆,
WX07-003,ミルルン・ユニオン,
WX07-004,四結獣娘　緑姫,
WX07-005,罪門の閻魔　ウリス,
WX07-006,白羅星　サタン,
WX07-007,博愛の使者　サシェ・モティエ,
WX07-008,レス・ホープ,
WX07-009,白羅星　ジュピタ,
WX07-010,十字炎　タマヨリヒメ之参,
WX07-011,炎固一徹,
WX07-012,一致爆結,
WX07-013,ミルルン・ミクロ,
WX07-014,クロス・スクランブル,
WX07-015,ピーピング・チョイス,
WX07-016,三型応援娘　緑姫,
WX07-017,台風一過,
WX07-018,一期一会,
WX07-019,煉獄の閻魔　ウリス,
WX07-020,ブラッド・ダンス,
WX07-021,アトラク・パニッシュ,
WX07-022,エクスクルード,
WX07-023,羅星姫　ミルキィウェイ,
WX07-024,メテオ・アドバンテージ,
WX07-025,弩砲　ファイヤレイジ,
WX07-026,大火の轢断,
WX07-027,羅原　Ｈ,
WX07-028,ＪＡＣＫＰＯＴ,
WX07-029,幻獣　ウサ,
WX07-030,穿孔,
WX07-031,破滅の右像　ウンギョウ,
WX07-032,デス・パレード,
WX07-033,羅星　アルファード,
WX07-034,羅星　アルフェカ,
WX07-035,羅星　ミモザ,
WX07-036,弩炎　フレイスロ少佐,
WX07-037,轟砲　マスケッタ,
WX07-038,爆砲　ガンソード,
WX07-039,羅原　Uuo,
WX07-040,羅原　Ｏ,
WX07-041,羅原　Ｎ,
WX07-042,幻獣　ラクダ,
WX07-043,幻獣　カメ,
WX07-044,幻獣　チータ,
WX07-045,明滅の罪雅　ダエワ,
WX07-046,破戒の左像　アギョウ,
WX07-047,堕落の左罪　ファウスト,
WX07-048,羅星　アルマク,
WX07-049,羅星　レグルス,
WX07-050,羅星　アルヘナ,
WX07-051,羅星　アクトゥルス,
WX07-052,羅星　ハダル,
WX07-053,羅星　スピカ,
WX07-054,羅星　アンタレス,
WX07-055,ゲット・アウト,
WX07-056,轟砲　カラニコ,
WX07-057,爆砲　ウージ,
WX07-058,盾砲　シールドミサイル,
WX07-059,小砲　グロック,
WX07-060,絶対の炎武,
WX07-061,羅原　Uus,
WX07-062,羅原　Uup,
WX07-063,羅原　Ｃ,
WX07-064,羅原　Uut,
WX07-065,ＦＲＥＥＺＥ　ＴＨＲＯＵＧＨ,
WX07-066,ＣＲＯＳＳ　ＲＵＳＨ,
WX07-067,幻獣　ハイエナ,
WX07-068,幻獣　ハゲタカ,
WX07-069,幻獣　ヒョウ,
WX07-070,幻獣　ハリネズ,
WX07-071,統一,
WX07-072,爆打,
WX07-073,崩落の裕女　ドゥルジ,
WX07-074,崩落の夢女　アパオシャ,
WX07-075,堕落の右罪　フェレス,
WX07-076,落第の呼称　アジダハ,
WX07-077,デス・ライク・デス,
WX07-078,デッド・クロス,
WX08-001,金蘭之契　花代・肆,
WX08-002,コード　ピルルク・Ｚ,
WX08-003,連結した廉潔　アン＝フォース,
WX08-004,ミュウ＝フラップ,
WX08-005,白羅星　ウラヌス,
WX08-006,黒幻蟲　アラクネ・パイダ,
WX08-007,リバース・モード,
WX08-008,白羅星　マーズ,
WX08-009,共炎雅　花代・参,
WX08-010,不灯不屈,
WX08-011,火翼連理,
WX08-012,コード　ピルルク・Θ,
WX08-013,ロブ・ムーブ,
WX08-014,ドント・グロウ,
WX08-015,ハンマー・チャンス,
WX08-016,収斂する修練　アン＝サード,
WX08-017,日進月歩,
WX08-018,恐悦至極,
WX08-019,ミュウ＝イサリス,
WX08-020,グレイブ・カース,
WX08-021,黒幻蟲　サソリス,
WX08-022,ペイ・チャージング,
WX08-023,羅星姫　フォウト,
WX08-024,羅石　サンスト,
WX08-025,罠砲　タイマーボム,
WX08-026,絢爛の轢断,
WX08-027,コードアート　Ｈ・Ｉ,
WX08-028,ＲＥＣＫＬＥＳＳ,
WX08-029,音階の右律　トオン,
WX08-030,滅精,
WX08-031,大幻蟲　ヘラカブト,
WX08-032,ワーム・ホール,
WX08-033,羅星　カペラ,
WX08-034,羅星　ディアデム,
WX08-035,弩砲　トーピード,
WX08-036,羅石　スピネル,
WX08-037,羅石　ムンスト,
WX08-038,羅石　タイアイ,
WX08-039,コードアート　Ｍ・Ｍ,
WX08-040,コードアート　Ｄ・Ｙ,
WX08-041,コードアート　Ｆ・Ｍ,
WX08-042,美しき弦奏　コントラ,
WX08-043,音階の左巧　ヘオン,
WX08-044,奏演の音左　フルート,
WX08-045,幻蟲　ノコクワ,
WX08-046,幻蟲　タマムシ,
WX08-047,幻蟲　コガネ,
WX08-048,羅星　グライド,
WX08-049,羅星　コロカロ,
WX08-050,羅星　サダルメ,
WX08-051,羅星　アルシャ,
WX08-052,羅星　スロキン,
WX08-053,ホワイト・アウト,
WX08-054,羅石　クリソコ,
WX08-055,轟砲　プラスボム,
WX08-056,羅石　クリソベ,
WX08-057,爆砲　マイン,
WX08-058,羅石　クリソプ,
WX08-059,羅石　キャッチャイ,
WX08-060,相愛の調律,
WX08-061,旋嵐の双撃,
WX08-062,コードアート　Ｍ・Ｘ,
WX08-063,コードアート　Ｓ・Ｚ,
WX08-064,コードアート　Ｗ・Ｓ,
WX08-065,コードアート　Ｄ・Ｐ,
WX08-066,ＢＥＡＵＴＩＦＵＬ,
WX08-067,ＰＥＥＰＩＮＧ　ＤＥＣＩＤＥ,
WX08-068,弦階の疑惑　ラダブラ,
WX08-069,弦階の誘惑　ヴィオラ,
WX08-070,弦階の魅惑　バイオリ,
WX08-071,奏演の右音　クラリネ,
WX08-072,解決,
WX08-073,突進,
WX08-074,幻蟲　Ｑ・アント,
WX08-075,幻蟲　トノサマ,
WX08-076,幻蟲　クマゼ,
WX08-077,幻蟲　クルマバ,
WX08-078,幻蟲　ミンミン,
WX08-079,幻蟲　ショウリョウ,
WX08-080,幻蟲　ツクツク,
WX08-081,デッド・メイク,
WX09-001,開かれし極門　ウトゥルス,
WX09-002,アール・バウンダリー,
WX09-003,疾風怒蕩,
WX09-004,スリリング・ドロー,
WX09-005,森羅万象,
WX09-006,グレイブ・アウェイク,
WX09-007,導きし者　タウィル＝フィーラ,
WX09-008,導きし者　タウィル＝トレ,
WX09-009,虚心の鍵主　ウムル＝フィーラ,
WX09-010,白鎧亜　ロートレット,
WX09-011,赤爆忍　カクヤ,
WX09-012,ブルーコードハート　Ｖ・＠・Ｃ,
WX09-013,緑幻獣　モモ,
WX09-014,黒魔姫　アンナ・スタンレー,
WX09-015,極剣　ムラクモ,
WX09-016,混沌の豊穣　シュブニグラ,
WX09-017,羅輝石　マラカイト,
WX09-018,コードハート　Ａ・Ｍ・Ｓ,
WX09-019,羅植姫　アキナナ,
WX09-020,コードアンチ　ヨグソトス,
WX09-021,フィア＝ヴィックス,
WX09-022,原槍　ラナジェ,
WX09-023,大剣　ハバキリ,
WX09-024,天左の書記　メタトロン,
WX09-025,羅石　カルコ,
WX09-026,幻竜　アンキロ,
WX09-027,羅石　オリハルティア,
